Genotype,fr_lf_sen_rate,grains_per_gram_stem,ll_modifier,max_grain_size,photop_sens,potential_grain_filling_rate,transp_eff_cf,tt_floral_initiation,vern_sens,y_extinct_coef,y_frac_leaf,y_rue
'g105',0.0342,21.6342,1.0348,0.0514,1.7464,0.0025,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',525.3596,2.0820,'0.4433  0.4433  0.4433','0  0  0.5867  0.5867  0.5867  0.39310  0  0  0  0  0  0  0  0','0  0  1.173  1.173  1.173  1.173  1.173  1.173  0  0  0'
'g106',0.0387,22.0918,0.9890,0.0437,2.3784,0.0019,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',464.9265,2.0915,'0.5091  0.5091  0.5091','0  0  0.6181  0.6181  0.6181  0.41410  0  0  0  0  0  0  0  0','0  0  1.174  1.174  1.174  1.174  1.174  1.174  0  0  0'
'g107',0.0342,22.5591,1.0471,0.0421,2.0245,0.0021,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',475.3053,1.7744,'0.5232  0.5232  0.5232','0  0  0.6187  0.6187  0.6187  0.41450  0  0  0  0  0  0  0  0','0  0  1.179  1.179  1.179  1.179  1.179  1.179  0  0  0'
'g108',0.0353,22.6625,0.9729,0.0445,1.9729,0.0021,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',497.2189,1.8453,'0.4662  0.4662  0.4662','0  0  0.6041  0.6041  0.6041  0.40470  0  0  0  0  0  0  0  0','0  0  1.344  1.344  1.344  1.344  1.344  1.344  0  0  0'
'g109',0.0346,22.9855,0.9817,0.0467,2.7233,0.0021,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',514.9116,1.9036,'0.5057  0.5057  0.5057','0  0  0.6178  0.6178  0.6178  0.41390  0  0  0  0  0  0  0  0','0  0  1.174  1.174  1.174  1.174  1.174  1.174  0  0  0'
'g110',0.0373,23.4525,0.9935,0.0342,1.8900,0.0019,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',494.9310,2.0406,'0.5474  0.5474  0.5474','0  0  0.5957  0.5957  0.5957  0.39910  0  0  0  0  0  0  0  0','0  0  1.184  1.184  1.184  1.184  1.184  1.184  0  0  0'
'g111',0.0353,23.6903,0.9938,0.0451,2.3583,0.0022,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',508.0335,1.8716,'0.4931  0.4931  0.4931','0  0  0.6129  0.6129  0.6129  0.41060  0  0  0  0  0  0  0  0','0  0  1.212  1.212  1.212  1.212  1.212  1.212  0  0  0'
'g112',0.0375,22.7596,0.9687,0.0402,2.0277,0.0020,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',513.3241,2.1390,'0.5079  0.5079  0.5079','0  0  0.6014  0.6014  0.6014  0.40290  0  0  0  0  0  0  0  0','0  0  1.236  1.236  1.236  1.236  1.236  1.236  0  0  0'
'g113',0.0339,22.3678,1.0512,0.0425,1.8786,0.0021,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',506.2617,1.8141,'0.4595  0.4595  0.4595','0  0  0.5746  0.5746  0.5746  0.3850  0  0  0  0  0  0  0  0','0  0  1.188  1.188  1.188  1.188  1.188  1.188  0  0  0'
'g114',0.0383,22.7544,1.0026,0.0408,2.2582,0.0019,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',508.9317,2.1639,'0.5  0.5  0.5','0  0  0.6157  0.6157  0.6157  0.41250  0  0  0  0  0  0  0  0','0  0  1.198  1.198  1.198  1.198  1.198  1.198  0  0  0'
'g115',0.0329,22.5621,1.0124,0.0421,2.1218,0.0021,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',500.1074,1.7969,'0.4907  0.4907  0.4907','0  0  0.5929  0.5929  0.5929  0.39720  0  0  0  0  0  0  0  0','0  0  1.198  1.198  1.198  1.198  1.198  1.198  0  0  0'
'g116',0.0362,21.8521,1.0044,0.0516,2.4996,0.0023,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',494.9586,2.1487,'0.535  0.535  0.535','0  0  0.5634  0.5634  0.5634  0.37750  0  0  0  0  0  0  0  0','0  0  1.301  1.301  1.301  1.301  1.301  1.301  0  0  0'
'g117',0.0363,22.5492,1.0331,0.0405,2.0196,0.0022,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',511.8928,1.8387,'0.4818  0.4818  0.4818','0  0  0.5988  0.5988  0.5988  0.40120  0  0  0  0  0  0  0  0','0  0  1.198  1.198  1.198  1.198  1.198  1.198  0  0  0'
'g118',0.0347,22.3680,0.9869,0.0480,2.0938,0.0022,'0  0  0.0046  0.0046  0.0046  0.0046  0.0046  0.0046  0.0046  0  0',520.1478,1.9407,'0.4629  0.4629  0.4629','0  0  0.5888  0.5888  0.5888  0.39450  0  0  0  0  0  0  0  0','0  0  1.304  1.304  1.304  1.304  1.304  1.304  0  0  0'
'g119',0.0382,23.7838,1.0402,0.0357,2.1276,0.0020,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',487.0312,1.8670,'0.5222  0.5222  0.5222','0  0  0.6027  0.6027  0.6027  0.40380  0  0  0  0  0  0  0  0','0  0  1.208  1.208  1.208  1.208  1.208  1.208  0  0  0'
'g120',0.0365,22.1754,0.9469,0.0508,2.4637,0.0022,'0  0  0.0063  0.0063  0.0063  0.0063  0.0063  0.0063  0.0063  0  0',518.5403,2.1779,'0.4994  0.4994  0.4994','0  0  0.5931  0.5931  0.5931  0.39740  0  0  0  0  0  0  0  0','0  0  1.138  1.138  1.138  1.138  1.138  1.138  0  0  0'
'g121',0.0383,23.0285,0.9754,0.0351,2.2079,0.0019,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',497.1165,2.0699,'0.5258  0.5258  0.5258','0  0  0.588  0.588  0.588  0.3940  0  0  0  0  0  0  0  0','0  0  1.022  1.022  1.022  1.022  1.022  1.022  0  0  0'
'g122',0.0339,22.1582,1.0281,0.0415,2.4485,0.0022,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',505.3307,2.0338,'0.4911  0.4911  0.4911','0  0  0.5841  0.5841  0.5841  0.39130  0  0  0  0  0  0  0  0','0  0  1.227  1.227  1.227  1.227  1.227  1.227  0  0  0'
'g123',0.0364,23.1469,0.9679,0.0450,2.2629,0.0019,'0  0  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0  0',508.6840,1.9703,'0.5082  0.5082  0.5082','0  0  0.6134  0.6134  0.6134  0.4110  0  0  0  0  0  0  0  0','0  0  1.212  1.212  1.212  1.212  1.212  1.212  0  0  0'
'g124',0.0357,22.7387,1.0422,0.0385,1.9996,0.0023,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',510.9823,1.9309,'0.4744  0.4744  0.4744','0  0  0.6085  0.6085  0.6085  0.40770  0  0  0  0  0  0  0  0','0  0  1.196  1.196  1.196  1.196  1.196  1.196  0  0  0'
'g125',0.0365,23.4891,0.9994,0.0435,2.6026,0.0019,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',518.8405,1.9095,'0.5088  0.5088  0.5088','0  0  0.5961  0.5961  0.5961  0.39940  0  0  0  0  0  0  0  0','0  0  1.129  1.129  1.129  1.129  1.129  1.129  0  0  0'
'g126',0.0375,24.6520,0.9620,0.0424,2.3279,0.0019,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',512.4653,2.3630,'0.506  0.506  0.506','0  0  0.6239  0.6239  0.6239  0.4180  0  0  0  0  0  0  0  0','0  0  1.159  1.159  1.159  1.159  1.159  1.159  0  0  0'
'g127',0.0358,22.1891,1.0508,0.0377,2.3115,0.0017,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',486.5269,2.2782,'0.5002  0.5002  0.5002','0  0  0.6108  0.6108  0.6108  0.40920  0  0  0  0  0  0  0  0','0  0  1.252  1.252  1.252  1.252  1.252  1.252  0  0  0'
'g128',0.0289,21.2573,0.9728,0.0459,2.2781,0.0020,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',536.4140,1.6569,'0.4813  0.4813  0.4813','0  0  0.5946  0.5946  0.5946  0.39840  0  0  0  0  0  0  0  0','0  0  1.284  1.284  1.284  1.284  1.284  1.284  0  0  0'
'g129',0.0346,22.3954,0.9898,0.0494,2.1750,0.0021,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',521.2647,1.8658,'0.4936  0.4936  0.4936','0  0  0.6048  0.6048  0.6048  0.40520  0  0  0  0  0  0  0  0','0  0  1.196  1.196  1.196  1.196  1.196  1.196  0  0  0'
'g130',0.0328,22.5033,0.9630,0.0455,2.1451,0.0021,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',528.9729,1.8588,'0.4877  0.4877  0.4877','0  0  0.5894  0.5894  0.5894  0.39490  0  0  0  0  0  0  0  0','0  0  1.205  1.205  1.205  1.205  1.205  1.205  0  0  0'
'g131',0.0329,22.5864,1.0054,0.0441,2.3078,0.0022,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',494.1882,1.6728,'0.4642  0.4642  0.4642','0  0  0.6016  0.6016  0.6016  0.40310  0  0  0  0  0  0  0  0','0  0  1.179  1.179  1.179  1.179  1.179  1.179  0  0  0'
'g132',0.0348,21.1879,1.0197,0.0451,2.6136,0.0020,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',489.0824,2.0579,'0.4956  0.4956  0.4956','0  0  0.5757  0.5757  0.5757  0.38570  0  0  0  0  0  0  0  0','0  0  1.303  1.303  1.303  1.303  1.303  1.303  0  0  0'
'g133',0.0354,23.8726,1.0279,0.0406,2.6171,0.0020,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',507.8935,1.8563,'0.4799  0.4799  0.4799','0  0  0.6158  0.6158  0.6158  0.41260  0  0  0  0  0  0  0  0','0  0  1.16  1.16  1.16  1.16  1.16  1.16  0  0  0'
'g134',0.0329,21.7213,1.0215,0.0465,2.3304,0.0019,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',521.2330,2.0016,'0.4543  0.4543  0.4543','0  0  0.5558  0.5558  0.5558  0.37240  0  0  0  0  0  0  0  0','0  0  1.313  1.313  1.313  1.313  1.313  1.313  0  0  0'
'g135',0.0368,22.4454,1.0472,0.0401,2.2044,0.0020,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',508.7724,2.0545,'0.5007  0.5007  0.5007','0  0  0.5563  0.5563  0.5563  0.37270  0  0  0  0  0  0  0  0','0  0  1.33  1.33  1.33  1.33  1.33  1.33  0  0  0'
'g136',0.0402,23.7461,1.0050,0.0386,2.1289,0.0019,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',481.8428,1.7853,'0.5102  0.5102  0.5102','0  0  0.605  0.605  0.605  0.40530  0  0  0  0  0  0  0  0','0  0  1.212  1.212  1.212  1.212  1.212  1.212  0  0  0'
'g137',0.0394,23.0549,1.0259,0.0375,2.1591,0.0019,'0  0  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0.0059  0  0',501.9366,1.8456,'0.5024  0.5024  0.5024','0  0  0.5972  0.5972  0.5972  0.40010  0  0  0  0  0  0  0  0','0  0  1.193  1.193  1.193  1.193  1.193  1.193  0  0  0'
'g138',0.0355,22.4580,0.9875,0.0393,2.1427,0.0019,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',499.1212,2.3180,'0.4356  0.4356  0.4356','0  0  0.634  0.634  0.634  0.42480  0  0  0  0  0  0  0  0','0  0  1.129  1.129  1.129  1.129  1.129  1.129  0  0  0'
'g139',0.0364,22.1315,1.0148,0.0381,2.2316,0.0019,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',498.8893,2.2064,'0.4487  0.4487  0.4487','0  0  0.6148  0.6148  0.6148  0.41190  0  0  0  0  0  0  0  0','0  0  1.134  1.134  1.134  1.134  1.134  1.134  0  0  0'
'g140',0.0365,21.9705,0.9589,0.0527,2.4863,0.0022,'0  0  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0  0',522.7771,2.1831,'0.5053  0.5053  0.5053','0  0  0.6003  0.6003  0.6003  0.40220  0  0  0  0  0  0  0  0','0  0  1.252  1.252  1.252  1.252  1.252  1.252  0  0  0'
'g141',0.0360,22.3062,0.9273,0.0508,2.4989,0.0022,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',495.9268,2.1349,'0.4739  0.4739  0.4739','0  0  0.6119  0.6119  0.6119  0.410  0  0  0  0  0  0  0  0','0  0  1.161  1.161  1.161  1.161  1.161  1.161  0  0  0'
'g142',0.0342,23.5392,1.0189,0.0419,2.2285,0.0018,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',500.3691,2.0012,'0.4277  0.4277  0.4277','0  0  0.5933  0.5933  0.5933  0.39750  0  0  0  0  0  0  0  0','0  0  1.139  1.139  1.139  1.139  1.139  1.139  0  0  0'
'g143',0.0321,20.4328,0.9758,0.0505,2.0637,0.0020,'0  0  0.0048  0.0048  0.0048  0.0048  0.0048  0.0048  0.0048  0  0',503.8188,2.1752,'0.5128  0.5128  0.5128','0  0  0.6046  0.6046  0.6046  0.40510  0  0  0  0  0  0  0  0','0  0  1.138  1.138  1.138  1.138  1.138  1.138  0  0  0'
'g144',0.0347,22.8628,0.9986,0.0434,2.3855,0.0018,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',492.2514,1.8178,'0.5343  0.5343  0.5343','0  0  0.6102  0.6102  0.6102  0.40880  0  0  0  0  0  0  0  0','0  0  1.193  1.193  1.193  1.193  1.193  1.193  0  0  0'
'g145',0.0356,22.7254,1.0000,0.0360,2.0862,0.0022,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',497.0783,1.9153,'0.5109  0.5109  0.5109','0  0  0.6101  0.6101  0.6101  0.40880  0  0  0  0  0  0  0  0','0  0  1.2  1.2  1.2  1.2  1.2  1.2  0  0  0'
'g146',0.0323,22.0909,0.9523,0.0518,2.0511,0.0023,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',514.9715,2.1629,'0.4975  0.4975  0.4975','0  0  0.5838  0.5838  0.5838  0.39110  0  0  0  0  0  0  0  0','0  0  1.223  1.223  1.223  1.223  1.223  1.223  0  0  0'
'g147',0.0318,21.0593,1.0017,0.0519,2.4126,0.0023,'0  0  0.0049  0.0049  0.0049  0.0049  0.0049  0.0049  0.0049  0  0',525.7910,2.1204,'0.4858  0.4858  0.4858','0  0  0.5688  0.5688  0.5688  0.38110  0  0  0  0  0  0  0  0','0  0  1.319  1.319  1.319  1.319  1.319  1.319  0  0  0'
'g148',0.0359,20.8830,0.9725,0.0447,2.2931,0.0020,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',467.2826,1.9984,'0.5134  0.5134  0.5134','0  0  0.6328  0.6328  0.6328  0.4240  0  0  0  0  0  0  0  0','0  0  1.139  1.139  1.139  1.139  1.139  1.139  0  0  0'
'g149',0.0335,23.1540,0.9991,0.0376,2.0659,0.0019,'0  0  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0.0061  0  0',475.1495,2.0517,'0.5285  0.5285  0.5285','0  0  0.6392  0.6392  0.6392  0.42830  0  0  0  0  0  0  0  0','0  0  1.049  1.049  1.049  1.049  1.049  1.049  0  0  0'
'g150',0.0296,21.3253,0.9804,0.0511,2.4730,0.0022,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',525.7563,1.9425,'0.4866  0.4866  0.4866','0  0  0.5726  0.5726  0.5726  0.38360  0  0  0  0  0  0  0  0','0  0  1.337  1.337  1.337  1.337  1.337  1.337  0  0  0'
'g151',0.0346,22.7227,1.0333,0.0496,2.1556,0.0024,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',506.6178,2.0614,'0.5008  0.5008  0.5008','0  0  0.6166  0.6166  0.6166  0.41310  0  0  0  0  0  0  0  0','0  0  1.359  1.359  1.359  1.359  1.359  1.359  0  0  0'
'g152',0.0372,22.7296,1.0182,0.0461,2.2389,0.0022,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',506.4959,2.0910,'0.5243  0.5243  0.5243','0  0  0.6213  0.6213  0.6213  0.41630  0  0  0  0  0  0  0  0','0  0  1.297  1.297  1.297  1.297  1.297  1.297  0  0  0'
'g153',0.0348,22.7670,1.0345,0.0498,2.1448,0.0024,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',504.5842,2.0907,'0.5086  0.5086  0.5086','0  0  0.6205  0.6205  0.6205  0.41570  0  0  0  0  0  0  0  0','0  0  1.362  1.362  1.362  1.362  1.362  1.362  0  0  0'
'g154',0.0365,22.7164,1.0541,0.0485,2.1122,0.0023,'0  0  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0.0052  0  0',513.8194,2.0070,'0.5544  0.5544  0.5544','0  0  0.6083  0.6083  0.6083  0.40760  0  0  0  0  0  0  0  0','0  0  1.35  1.35  1.35  1.35  1.35  1.35  0  0  0'
'g155',0.0337,22.7593,1.0155,0.0445,2.1442,0.0023,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',495.5562,1.9006,'0.5205  0.5205  0.5205','0  0  0.5917  0.5917  0.5917  0.39640  0  0  0  0  0  0  0  0','0  0  1.311  1.311  1.311  1.311  1.311  1.311  0  0  0'
